title,authors,year,doi,url,abstract,source_database,journal
Relation-Guided Think-on-Graph Framework for Grounded LLMs Reasoning over an Urban Historic Districts Knowledge Graph: Expert Knowledge Integration and Learning,"MA KAIYUE, ZHOU YUXUAN, HUANG HE, ZHANG JIE",2026,10.2139/ssrn.6022623,https://doi.org/10.2139/ssrn.6022623,[Abstract not available from CrossRef],CrossRef (bioRxiv/medRxiv),bioRxiv/medRxiv
Build A Knowledge Graph,Wiratama Jemmy,2019,10.31219/osf.io/r86yb,https://doi.org/10.31219/osf.io/r86yb,<p>I'm an Science &amp;amp; Technology enthusiast. I still learn how to build a knowledge graph and how to write a paper.</p>,CrossRef (bioRxiv/medRxiv),bioRxiv/medRxiv
Knowledge Graph Contrastive Learning for Recommendation Via Knowledge-Aware Reasoning,"Guo Junyan, Yang Kai, Zhao Wenqian",2025,10.2139/ssrn.5382854,https://doi.org/10.2139/ssrn.5382854,[Abstract not available from CrossRef],CrossRef (bioRxiv/medRxiv),bioRxiv/medRxiv
Knowledge Graph Contrastive Learning for Recommendation Via Knowledge-Aware Reasoning,"Guo Junyan, Yang Kai, Zhao Wenqian",2025,10.2139/ssrn.5272966,https://doi.org/10.2139/ssrn.5272966,[Abstract not available from CrossRef],CrossRef (bioRxiv/medRxiv),bioRxiv/medRxiv
An Approach Based on Open Research Knowledge Graph for Knowledge Acquisition from Scientific Papers,Jiomekong Azanzi,2023,10.2139/ssrn.4333481,https://doi.org/10.2139/ssrn.4333481,[Abstract not available from CrossRef],CrossRef (bioRxiv/medRxiv),bioRxiv/medRxiv
Knowledge-Base Graphs to Knowledge Graph-Based Computing: Integrated Semantic System for Artificial Intelligence,Kurshan Eren,2024,10.2139/ssrn.4941539,https://doi.org/10.2139/ssrn.4941539,[Abstract not available from CrossRef],CrossRef (bioRxiv/medRxiv),bioRxiv/medRxiv
Graph Neural Network-Based Knowledge Graph Embedding for Personalized Recommendation Systems,"Almeida, Miranda Enzo, Ferreira Bruna, Teixeira Gael",2023,10.21203/rs.3.rs-2689875/v1,https://doi.org/10.21203/rs.3.rs-2689875/v1,"<jats:title>Abstract</jats:title>
        <jats:p>With the increase in online content, recommendation systems have become an important tool to filter information overload and provide users with personalized experiences. Collaborative filtering is a classical recommendation technique that represents users and items as vectors. However, recent studies have shown that item attributes, represented as a Knowledge Graph (KG), can provide rich auxiliary information for recommendation systems. This paper proposes a Graph Neural Network (GNN) based on KGs to improve the accuracy, diversity, and interpretability of recommendation systems. The GNN fuses semantic related information in KG to achieve user as well as item representation habits. Neighboring nodes have different weights, which can be aggregated to obtain a more accurate representation of the current entity and improve the accuracy of recommendations. The learning process can be extended to more contents related to user interests, which can improve the diversity of recommendations. This paper proposes a graph neural network based on knowledge graphs, fusing semantic related information in KG to achieve user as well as item representation habits. Neighboring nodes have different weights, which can be aggregated to obtain a more accurate representation of the current entity and improve the accuracy of recommendations. Due to the influence of user preferences, the learning process can be extended to more contents related to user interests, which can improve the diversity of recommendations.</jats:p>",CrossRef (bioRxiv/medRxiv),bioRxiv/medRxiv
Query-Guided Graph Neural Networks for Knowledge Graph Reasoning,"Wang Qi, GUO YANRONG, Wu Jingjing, Hao Shijie, Hong Richang",2025,10.2139/ssrn.5761851,https://doi.org/10.2139/ssrn.5761851,[Abstract not available from CrossRef],CrossRef (bioRxiv/medRxiv),bioRxiv/medRxiv
Question-Answering enhanced by Knowledge Graphs,He Xuzeng,2024,10.59350/tfrff-c2c20,https://doi.org/10.59350/tfrff-c2c20,"<jats:p>Introduction Question Answering (QA), the ability to interact with data using natural language questions and obtaining accurate results, has been a long-standing challenge in computer science dating back to the 1960s. Typically, QA tasks aim to answer questions in natural language based on large-scale unstructured passages such as Wikipedia.</jats:p>",CrossRef (bioRxiv/medRxiv),bioRxiv/medRxiv
Question-Answering enhanced by Knowledge Graphs,He Xuzeng,2024,10.59350/3ar10-pfb19,https://doi.org/10.59350/3ar10-pfb19,"<jats:p>Introduction Question Answering (QA), the ability to interact with data using natural language questions and obtaining accurate results, has been a long-standing challenge in computer science dating back to the 1960s. Typically, QA tasks aim to answer questions in natural language based on large-scale unstructured passages such as Wikipedia.</jats:p>",CrossRef (bioRxiv/medRxiv),bioRxiv/medRxiv
