id,title,authors,year,journal,doi,source,auto_decision,auto_reason,screening_decision,screening_reason,reviewer_notes,screening_date,abstract
67,"Synergistic influence of minimum tillage and integrated nutrient schedules on crop performance, nutrient uptake, profitability and soil microbial diversity in a rice‒lentil cropping system","Bhattacharya U, Naskar MK, Kumari VV, Sarkar S, Bandyopadhyay P, Maitra S, Al-Shuraym LA, Alkeridis LA, Gaber A, Hossain A.",2025,,10.1186/s12870-025-07231-0,pubmed,Exclude,E2: No KG/semantic web terms,Exclude,E2: No KG/semantic web terms,,,
68,"Effects of X-Ray Irradiation on the Biological Parameters, Gut Microbiota, and Gene Expression of Bactrocera dorsalis: Implications for the Sterile Insect Technique","Lin J, Ding W, Chen J, Yue G, Wang B, Ji Q.",2025,,10.1111/eva.70158,pubmed,Exclude,E2: No KG/semantic web terms,Exclude,E2: No KG/semantic web terms,,,
69,Multi-omics analysis reveals the alleviating effect of oxidation remediation on tobacco quinclorac stress,"Zhang B, Yang T, Cheng C, Li T, Zhang N, Wang F, Chen W, Zhong Z, Liu Z, Gu G, Lin X, Xie X.",2025,,10.3389/fmicb.2025.1625585,pubmed,Exclude,E1: Not microbiome-related,Exclude,E1: Not microbiome-related,,,
70,Exploring therapeutic targets of curcumin for knee osteoarthritis via the gene-gut microbiota-plasma metabolite axis: An observational study,"Zheng H, Wei H, Tian B, Xu Z, Su D, Lü H, Li X, Ni H, Wei L, Mo X, Hou K, Zhang Z, Yu M, Long F, Li W, Rong X.",2025,,10.1097/MD.0000000000044666,pubmed,Exclude,E2: No KG/semantic web terms,Exclude,E2: No KG/semantic web terms,,,
72,"Unveiling community structure, antimicrobial resistance, and virulence factor of a wastewater sample of dairy farm located in mayurbhanj, odisha, India","Satpathy SS, Pradhan D.",2025,,10.1038/s41598-025-16864-y,pubmed,Exclude,E2: No KG/semantic web terms,Exclude,E2: No KG/semantic web terms,,,
73,Exploration of the mechanism of PCOS induced by microenvironmental changes in follicular fluid based on 16 S rRNA and metabolomics,"Wang C, Zhao H, Sibirny A, Pan W, Liang R, Luo G, Zhang G, Wang Y, Kang Y.",2025,,10.1186/s13048-025-01781-5,pubmed,Exclude,E1: Not microbiome-related,Exclude,E1: Not microbiome-related,,,
75,Arabidopsis thaliana genes with codon usage bias similar to that of B. amyloliquefaciens are involved in the regulation of A. thaliana adaptation to high calcium stress by B. amyloliquefaciens,"Li F, Zhang Q, Lu Y, Chen X, Liu X, Qiu X, Gu Y, Wang P, Liu J.",2025,,10.3389/fpls.2025.1623360,pubmed,Exclude,E1: Not microbiome-related,Exclude,E1: Not microbiome-related,,,
76,Transcriptomic profiling of Debaryomyces hansenii reveals detoxification and stress responses to benzo(a)pyrene exposure,"Padilla-Garfias F, Poot-Hernández AC, Araiza-Villanueva M, Calahorra M, Sánchez NS, Peña A.",2025,,10.1128/aem.01557-25,pubmed,Exclude,E1: Not microbiome-related,Exclude,E1: Not microbiome-related,,,
78,Proteomic changes associated with health benefit properties in fresh and preserved mustard greens,"Saekampang C, Pimpak V, Promwat P, Kruaweangmol P, Phaonakrop N, Roytrakul S, Withayagiat U, Tunsagool P.",2025,,10.1016/j.fochms.2025.100295,pubmed,Exclude,E1: Not microbiome-related,Exclude,E1: Not microbiome-related,,,
79,"Microbial enriched vermicompost efficiently substitutes soil nutrients, microbial populations and enzymatic activity for the growth and yield of tuberose (Agave amica Medik.) cv. Single","Kumar M, Chaudhary V, Chaudhary V, Kumar R, Kaushik K, Bhatt R, Naresh RK, Gaber A, Hossain A.",2025,,10.1007/s12223-025-01325-w,pubmed,Exclude,E2: No KG/semantic web terms,Exclude,E2: No KG/semantic web terms,,,
