id,title,authors,year,journal,doi,source,auto_decision,auto_reason,screening_decision,screening_reason,reviewer_notes,screening_date,abstract
159,Neighborhood Topology-Aware Knowledge Graph Learning and Microbial Preference Inferring for Drug-Microbe Association Prediction,"Gu J, Zhang T, Gao Y, Chen S, Zhang Y, Cui H, Xuan P.",2025,,10.1021/acs.jcim.4c01544,pubmed,Include,Auto: Both microbiome and KG terms found,Include,Auto: Both microbiome and KG terms found,,,
162,MicroGlycoDB: A database of microbial glycans using Semantic Web technologies,"Lee S, Leclercq LD, Guerardel Y, Szymanski CM, Hurtaux T, Doering TL, Katayama T, Fujita K, Aoki K, Aoki-Kinoshita KF.",2024,,10.1016/j.bbadva.2024.100126,pubmed,Include,Auto: Both microbiome and KG terms found,Include,Auto: Both microbiome and KG terms found,,,
196,Knowledge graph-derived feed efficiency analysis via pig gut microbiota,"Zhang J, Jiang Q, Du Z, Geng Y, Hu Y, Tong Q, Song Y, Zhang HY, Yan X, Feng Z.",2024,,10.1038/s41598-024-64835-6,pubmed,Include,Auto: Both microbiome and KG terms found,Include,Auto: Both microbiome and KG terms found,,,
217,Integrating biological knowledge for mechanistic inference in the host-associated microbiome,"Santangelo BE, Apgar M, Colorado ASB, Martin CG, Sterrett J, Wall E, Joachimiak MP, Hunter LE, Lozupone CA.",2024,,10.3389/fmicb.2024.1351678,pubmed,Include,Auto: Both microbiome and KG terms found,Include,Auto: Both microbiome and KG terms found,,,
221,A microbial knowledge graph-based deep learning model for predicting candidate microbes for target hosts,"Pan J, Zhang Z, Li Y, Yu J, You Z, Li C, Wang S, Zhu M, Ren F, Zhang X, Sun Y, Wang S.",2024,,10.1093/bib/bbae119,pubmed,Include,Auto: Both microbiome and KG terms found,Include,Auto: Both microbiome and KG terms found,,,
240,Mining literature and pathway data to explore the relations of ketamine with neurotransmitters and gut microbiota using a knowledge-graph,"Liu T, Feenstra KA, Huang Z, Heringa J.",2024,,10.1093/bioinformatics/btad771,pubmed,Include,Auto: Both microbiome and KG terms found,Include,Auto: Both microbiome and KG terms found,,,
246,Correction: Microbial Gene Ontology informed deep neural network for microbe functionality discovery in human diseases,"Liu Y, Zhang YZ, Imoto S.",2023,,10.1371/journal.pone.0296316,pubmed,Include,Auto: Both microbiome and KG terms found,Include,Auto: Both microbiome and KG terms found,,,
263,Food4healthKG: Knowledge graphs for food recommendations based on gut microbiota and mental health,"Fu C, Huang Z, van Harmelen F, He T, Jiang X.",2023,,10.1016/j.artmed.2023.102677,pubmed,Include,Auto: Both microbiome and KG terms found,Include,Auto: Both microbiome and KG terms found,,,
272,MMiKG: a knowledge graph-based platform for path mining of microbiota-mental diseases interactions,"Sun H, Song Z, Chen Q, Wang M, Tang F, Dou L, Zou Q, Yang F.",2023,,10.1093/bib/bbad340,pubmed,Include,Auto: Both microbiome and KG terms found,Include,Auto: Both microbiome and KG terms found,,,
290,Achieving pan-microbiome biological insights via the dbBact knowledge base,"Amir A, Ozel E, Haberman Y, Shental N.",2023,,10.1093/nar/gkad527,pubmed,Include,Auto: Both microbiome and KG terms found,Include,Auto: Both microbiome and KG terms found,,,
315,SGMFQP: An ontology-based Swine Gut Microbiota Federated Query Platform,"Wang Y, Jiang Q, Geng Y, Hu Y, Tang Y, Li J, Zhang J, Mayer W, Liu S, Zhang HY, Yan X, Feng Z.",2023,,10.1016/j.ymeth.2023.02.010,pubmed,Include,Auto: Both microbiome and KG terms found,Include,Auto: Both microbiome and KG terms found,,,
